Filename:  live_data.mca
Description:  
TimeStamp:  11/30/2023 13:29:12

Spectral Data Information
Channel	Data
479	48
480	39
481	44
482	56
483	41
484	61
485	38
486	46
487	45
488	58
489	44
490	44
491	55
492	43
493	38
494	43
495	37
496	37
497	43
498	39
499	23
500	30
501	33
502	33
503	35
504	21
505	24
506	31
507	23
508	21
509	23
510	20
511	19
512	23
513	14
514	12
515	12
516	19
517	21
518	14
519	14
520	7
521	9
522	9
523	7
524	11
525	8
526	5
527	6
528	8
529	4
530	5
531	11
532	3
533	7
534	6
535	10
536	6
537	7
538	7
539	3
540	3
541	2
542	5
543	7
544	6
545	5
546	6
547	3
548	9
549	4
550	5
551	4
552	3
553	5
554	0
555	4
556	7
557	4
558	4
559	9
560	3
561	4
562	6
563	5
564	2
565	5
566	6
567	3
568	2
569	8
570	6
571	3
572	7
573	4
574	7
575	3
576	6
577	2
578	4
579	5
580	5
581	4
582	9
583	5
584	6
585	4
586	3
587	5
588	4
589	2
590	5
591	2
592	4
593	5
594	7
595	5
596	5
597	3
598	8
599	6
600	5
601	5
602	5
603	3
604	8
605	4
606	3
607	2
608	2
609	1
610	3
611	3
612	4
613	4
614	5
615	3
616	4
617	7
618	5
619	2
620	4
621	1
622	3
623	2
624	2
625	5
626	4
627	3
628	3
629	4
630	4
631	1
632	4
633	0
634	3
635	2
636	1
637	2
638	0
639	5
640	2
641	1
642	1
643	2
644	0
645	3
646	2
647	2
648	1
649	2
650	7
651	3
652	6
653	2
654	4
655	0
656	1
657	2
658	4
659	0
660	2
661	2
662	6
663	3
664	2
665	3
666	6
667	6
668	1
669	1
670	3
671	2
672	3
673	5
674	1
675	2
676	4
677	5
678	2
679	1
680	5
681	6
682	1
683	2
684	3
685	3
686	3
687	6
688	5
689	4
690	5
691	3
692	2
693	2
694	5
695	2
696	1
697	6
698	2
699	2
700	4
701	4
702	1
703	2
704	4
705	3
706	3
707	3
708	3
709	3
710	5
711	6
712	6
713	6
714	3
715	2
716	1
717	4
718	5
719	3
720	3
721	6
722	3
723	2
724	1
725	1
726	6
727	5
728	1
729	1
730	4
731	4
732	3
733	4
734	2
735	2
736	6
737	7
738	3
739	4
740	2
741	2
742	1
743	4
744	1
745	2
746	4
747	2
748	1
749	3
750	2
751	3
752	3
753	1
754	1
755	4
756	1
757	3
758	5
759	0
760	6
761	1
762	4
763	2
764	3
765	1
766	1
767	6
768	2
769	3
770	4
771	2
772	1
773	2
774	0
775	1
776	0
777	3
778	1
779	1
780	0
781	2
782	1
783	2
784	1
785	0
786	0
787	0
788	2
789	0
790	1
791	4
792	1
793	4
794	2
795	3
796	0
797	0
798	0
799	1
800	0
801	3
802	1
803	3
804	1
805	0
806	0
807	2
808	2
809	3
810	0
811	1
812	1
813	1
814	1
815	0
816	1
817	0
818	1
819	2
820	1
821	1
822	0
823	2
824	2
825	0
826	2
827	1
828	0
829	3
830	2
831	1
832	4
833	3
834	2
835	4
836	2
837	1
838	0
839	2
840	2
841	0
842	3
843	3
844	3
845	1
846	2
847	3
848	5
849	0
850	5
851	5
852	5
853	6
854	5
855	1
856	0
857	6
858	3
859	0
860	3
861	4
862	2
863	1
864	2
865	0
866	2
867	3
868	2
869	4
870	1
871	1
872	1
873	2
874	2
875	2
876	3
877	3
878	0
879	1
880	0
881	0
882	2
883	1
884	0
885	4
886	0
887	0
888	3
889	3
890	1
891	0
892	3
893	3
894	3
895	1
896	2
897	0
898	0
899	2
900	1
901	1
902	0
903	0
904	1
905	0
906	0
907	0
908	0
909	2
910	1
911	1
912	0
913	0
914	0
915	0
916	0
917	0
918	0
919	0
920	0
921	0
922	1
923	0
924	1
925	0
926	0
927	0
928	0
929	0
930	1
931	0
932	0
933	0
934	0
935	0
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	1
945	0
946	0
947	0
948	0
949	0
950	0
951	1
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	1
961	0
962	0
963	0
964	0
965	0
966	1
967	0
968	0
969	0
970	0
971	1
972	0
973	1
974	0
975	0
976	0
977	0
978	0
979	1
980	0
981	0
982	0
983	1
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
1001	0
1002	0
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	0
1014	0
1015	0
1016	0
1017	0
1018	0
1019	0
1020	0
1021	0
1022	0
1023	0
